context,question,answer
"(1)(1)

To stow the jack (1), place it in the storage
bracket  (5)  and  turn  the  shaft  clockwise
with the hand.

55TB1007

(3)

(1)
(1)

To stow the jack (1), place it in the storage
bracket  and  turn  the  shaft  clockwise  until
the jack is securely held in place.

(3)

NOTICE
To  avoid  damaging 
bracket,  do  not  expand  the 
excessively.

the  storage
jack

55TB1006

To remove the jack (1), turn its shaft coun-
terclockwise  by  using  jack  handle  (3)  and
pull the jack out of the storage bracket.

10-5

(5)

74TB07013
After  temporarily  tightening  the  jack  till  it 
contacts  the  jack  holder  bracket  ,  turn  the 
shaft  approximately  90°  to  180°  by  using

55TH0-74E

jack handle (3) to securely hold the jack in
place.

WARNING

After  using  the  tyre  changing  tools,
be sure to stow them securely or they
can  cause 
if  an  accident
occurs.

injury 

CAUTION",How should the jack be stowed in the storage bracket?,"To stow the jack, place it in the storage bracket and turn the shaft clockwise until the jack is securely held in place."
"injury 

CAUTION

The  jack  should  be  used  only  to
change wheels. It is important to read
the  jacking  instructions  in  this  sec-
tion  before  attempting  to  use  the
jack.

(7)

To remove the spare tyre, turn the bolt (7)
counterclockwise and remove it.

68PM08007

(7)

68PM08008
Return  the  spare  tyre  back  into  the  lug-
gage compartment in the reverse order of
removal  and  tighten  its  bolt  (7)  clockwise
as shown in the above illustration.
While replacing tyre with alloy wheel make
sure to remove the wheel cap before keep-
ing the tyre in the trunk.

NOTICE
Make sure that the spare tyre is fixed
securely  on  the  floor.  Loosely  fixed
tyre  may  cause  noise  during  driving
and damage paint on vehicle body.

EMERGENCY SERVICE

Jacking Instructions
1) Place the vehicle on level, hard ground.
2) Set  the  parking  brake  firmly  and  shift
into “R” (Reverse) if your vehicle has a
manual 
transmission  or  Auto  Gear
Shift.

WARNING",What should be done before attempting to use the jack?,"Before attempting to use the jack, it is important to read the jacking instructions in the manual guide."
"WARNING

• Shift  into  “P”  (Park)  when  you  jack

up the vehicle.

• Never  jack  up  the  vehicle  with  the
transmission  in  “N”  (Neutral).  Oth-
erwise, unstable jack may cause an
accident. 

3) Turn  on  the  hazard  warning  switch  if

your vehicle is near traffic.

4) Block  the  front  and  rear  of  the  wheel
diagonally  opposite  to  the  wheel  being
lifted.

59RN10010

10-6

55TH0-74E

EMERGENCY SERVICE

WARNING

• Use the jack only to change wheels

on level, hard ground.

• Never  jack  up  the  vehicle  on  an

inclined surface.

• Never  raise  the  vehicle  with  the
jack 
than
between the frame bosses near the
wheel to be changed.

location  other 

in  a 

59RN10120

81PN117

6) Continue  to  raise  the  jack  slowly  and
smoothly  until 
the
the 
ground.  Do  not  raise  the  vehicle  more
than necessary.

tyre  clears 

(1)

(1)

59R80200",What precautions should be taken when jacking up the vehicle?,"When jacking up the vehicle, it is important to shift into ""P"" (Park), block the front and rear of the wheel diagonally opposite to the wheel being lifted, and use the jack only on level, hard ground. Additionally, the hazard warning switch should be turned on if the vehicle is near traffic, and the vehicle should not be raised on an inclined surface."
"tyre  clears 

(1)

(1)

59R80200

5) Position the jack at an angle as shown
in  the  illustration  and  raise  the  jack  by
turning  the  jack  handle  clockwise  until
the  jack-head  groove  fits  around  the
jacking bar boss (1)beneath the vehicle
body.

10-7

• Make sure that the jack is raised at
least  25  mm  (1  inches)  before  it
contacts  the  boss.  Use  of  the  jack
when  it  is  within  25  mm  (1  inches)
of being fully collapsed may result
in failure of the jack.

• Do not use wooden blocks or simi-

lar objects as a jack underlay.

• No  person  should  place  any  por-
tion  of  their  body  under  a  vehicle
that  is  supported  by  a  jack.  Never
place your hands or feet under the
raised vehicle when it is supported
by a jack.

• Never  run  the  engine  when  the
vehicle  is  supported  by  the  jack
and  never  allow  passengers  to
remain in the vehicle.

55TH0-74E

Raising Vehicle with Garage Jack
• Apply  the  garage  jack  to  one  of  the",What precautions should be taken when using a jack to raise a vehicle?,"Some precautions that should be taken when using a jack to raise a vehicle include:

1. Making sure that the jack is raised at least 25 mm (1 inch) before it contacts the boss.
2. Avoiding the use of wooden blocks or similar objects as a jack underlay.
3. Not placing any portion of the body under a vehicle that is supported by a jack.
4. Never running the engine when the vehicle is supported by the jack and not allowing passengers to remain in the vehicle."
"55TH0-74E

Raising Vehicle with Garage Jack
• Apply  the  garage  jack  to  one  of  the

points indicated below.

• Always  support  the  raised  vehicle  with
jack  stands  (commercially  available)  at
the points indicated below.

(1) Front
(2) Rear
(3) Jack stand
(4) Garage jack
(5) Jacking point for garage jack

(1)(1)

(3)

(1)

(1)

(5)

(4)

EMERGENCY SERVICE

(2)

(3)

(2)

(5)

(4)

55T100140

10-8

55TH0-74E

CAUTION

Immediately  after  the  vehicle  has
been  driven,  the  wheels,  the  wheel
nuts and the  area around the brakes
might  be  extremely  hot.  Touching
these  areas  may  cause  burn  injury
Do  not  touch  these  areas,  immedi-
ately  after  the  vehicle  has  been
driven.

4) Remove the wheel nuts and wheel.

Changing Wheels

WARNING",Where should the garage jack be applied when raising the vehicle?,"The garage jack should be applied to one of the points indicated in the manual, either at the front or rear of the vehicle."
"4) Remove the wheel nuts and wheel.

Changing Wheels

WARNING

Never change a wheel in traffic lane.
Always move the vehicle off the road
on level, hard ground away from traf-
fic for changing a wheel. For any fur-
ther  assistance  contact  your  nearest
Maruti Suzuki authorized workshop.

To change a wheel, use the following pro-
cedure:
1) Prepare the jack and tools.
2) Loosen,  but  do  not  remove  the  wheel

nuts.

3) Jack  up  the  vehicle  (follow  the  jacking

instructions in this section).

WARNING

• Shift into “R” (Reverse) for a manual
transmission  or  Auto  Gear  Shift
vehicle  when  you  jack  up  the  vehi-
cle.

• Never  jack  up  the  vehicle  with  the
transmission  in  “N”  (Neutral).  Oth-
erwise, unstable jack may cause an
accident. 

EMERGENCY SERVICE

(a)

(b)

(6)

(6)

(2)

(2)

55T100180

(a) Specified position of jack stand for the

front side

(b) Specified position of jack stand for the

rear side",What precautions should be taken before changing a wheel?,"Before changing a wheel, it is important to take the following precautions:

1) Move the vehicle off the road onto level, hard ground away from traffic.
2) Never change a wheel in a traffic lane.
3) Prepare the jack and tools needed for changing the wheel.
4) Loosen the wheel nuts, but do not remove them.
5) Follow the jacking instructions provided in the manual.
6) For manual transmission or Auto Gear Shift vehicles, shift into ""R"" (Reverse) when jacking up the vehicle.
7) Never jack up the vehicle with the transmission in ""N"" (Neutral) to avoid accidents."
"front side

(b) Specified position of jack stand for the

rear side

NOTICE
If  you  use  the  jack  stand  (2)  in  the
condition  that  it  touches  the  side
skirt (6), the side skirt may be broken
or damaged.
When  using  the  jack  stand,  make
sure  that  it  does  not  touch  the  side
skirt.

NOTE:
For  more  details,  consult  a  Maruti  Suzuki
authorized workshop.

10-9

55TH0-74E

(1)

(4)

(5)

(2)

(1)

(3)

(4)

(3)

84S08170
5) Clean any mud or dirt off from the sur-
face  of  the  wheel  (1),  hub  (2),  thread
part  (3)  and  surface  of  the  wheel  nuts
(4)  with  a  clean  cloth.  Clean  the  hub
carefully; it may be hot from driving.
6) Install  the  new  wheel  and  replace  the
wheel nuts with their cone shaped end
facing  the  wheel.  Tighten  each  nut
snugly  by  hand  until  the  wheel  is
securely seated on the hub.

Loosen

Tighten

Tightening torque for wheel nuts
100 Nm (10.2 kg-m, 74.0 lb-ft)

68PM08010",What precaution should be taken when using the jack stand in relation to the side skirt?,"When using the jack stand, it is important to make sure that it does not touch the side skirt. If the jack stand touches the side skirt, it may cause damage or break the side skirt."
"Loosen

Tighten

Tightening torque for wheel nuts
100 Nm (10.2 kg-m, 74.0 lb-ft)

68PM08010

7) Lower the jack and fully tighten the nuts
with  a  wrench  in  numerical  order  as
shown in the illustration.

WARNING

Use  genuine  wheel  nuts  and  tighten
them to the specified torque as soon
as  possible  after  changing  wheels.
Incorrect  wheel  nuts  or  improperly
tightened  wheel  nuts  may  come
loose  or  fall  off,  which  can  result  in
an  accident.  If  you  do  not  have  a
torque  wrench,  have  the  wheel  nut
torque  checked  by  an  authorized
Maruti Suzuki authorized workshop.

EMERGENCY SERVICE

(1)

68PM08001
Return  the  spare  tyre  back  into  the  lug-
gage compartment in the reverse order of
removal  and  tighten  its  bolt  (1)  clockwise
as shown in the above illustration.

NOTICE
Make sure that the spare tyre is fixed
securely  on  the  floor.  Loosely  fixed
tyre  may  cause  noise  during  driving
and damage paint on vehicle body.

10-10

55TH0-74E",What is the specified torque for tightening the wheel nuts?,"The specified torque for tightening the wheel nuts is 100 Nm (10.2 kg-m, 74.0 lb-ft)."
"10-10

55TH0-74E

EMERGENCY SERVICE

Full Wheel Cover (if equipped)

Jump-starting Instructions

WARNING

• Never  attempt  to  jump-start  your
lead-acid  battery
vehicle 
appears  to  be  frozen.  Batteries  in
this condition may explode.

if  the 

• When  making  jump  lead  connec-
tions,  check  that  your  hands  and
the  jump  leads  remain  clear  from
pulleys, belts or fans.

• Lead-acid  batteries  produce  flam-
mable  hydrogen  gas.  Keep  flames
and  sparks  away  from  the  battery
or  an  explosion  may  occur.  Never
smoke when working near the bat-
tery.

• If  the  booster  battery  you  use  for
jump-starting is installed in another
vehicle, check that the two vehicles
are not touching each other.

• If your lead-acid battery discharges
repeatedly, for no apparent reason,
have  your  vehicle  inspected  by  a
Maruti  Suzuki  authorized  work-
shop.",What precautions should be taken when jump-starting a vehicle with a lead-acid battery?,"When jump-starting a vehicle with a lead-acid battery, it is important to take the following precautions:

1. Never attempt to jump-start your vehicle if the battery appears to be frozen, as batteries in this condition may explode.
2. When making jump lead connections, ensure that your hands and the jump leads remain clear from pulleys, belts, or fans.
3. Keep flames and sparks away from the battery, as lead-acid batteries produce flammable hydrogen gas. Never smoke when working near the battery.
4. If using a booster battery from another vehicle, make sure that the two vehicles are not touching each other.
5. If your lead-acid battery discharges repeatedly without any apparent reason, it is recommended to have your vehicle inspected by a Maruti Suzuki authorized workshop."
"• To  avoid  harm  to  yourself  or  dam-
age  to  your  vehicle  or  battery,  fol-
low  the  jump-starting  instructions
below. 
If you are in doubt, call for qualified
road service.

(1)
(1)

(2)
(2)

(3)
(3)

68PM08011

(1) or (2) Flat end tool

Your  vehicle  includes  two  tools,  a  wheel
wrench and a jack crank, one of which has
a flat end.
Use the tool with the flat end with soft cloth
(3)  to  remove  the  full  wheel  cover,  as
shown above.

When installing the cover, make sure that it
is  positioned  so  that  it  does  not  cover  or
foul the air valve.

68PM08012

10-11

NOTICE
Your vehicle should not be started by
pushing  or  towing.  This  starting
method  could  result  in  permanent
damage  to  the  catalytic  converter.
Use jump leads to start a vehicle with
a weak or flat battery.",What should you do if you are unsure about jump-starting your vehicle?,"If you are unsure about jump-starting your vehicle, it is recommended to call for qualified road service."
"1) Use  only  a  12-volt  lead-acid  battery  to
jump-start  your  vehicle.  Position  the
good  12-volt  lead-acid  battery  close  to
your vehicle so that the jump leads will
reach both batteries. When using a bat-
tery installed on another vehicle, check
that  two  vehicles  do  not  touch  each
other.  Set  the  parking  brakes  fully  on
both vehicles.

2) Turn off all vehicle accessories, except
those necessary for safety reasons (for
example, headlights or hazard lights).

55TH0-74E

EMERGENCY SERVICE

to  another  vehicle,  start 

4) If  the  booster  battery  you  are  using  is
fitted 
the
engine  of  the  vehicle  with  the  booster
battery.  Run  the  engine  at  moderate
speed.

5) Start the engine of the vehicle with the

discharged battery.

6) Remove  the  jump  leads  in  the  exact
reverse  order  in  which  you  connected
them.

2. Connect the other end to the positive
(+)  terminal  of  the  booster  battery
(2).",What type of battery should be used to jump-start a vehicle?,Only a 12-volt lead-acid battery should be used to jump-start a vehicle.
"2. Connect the other end to the positive
(+)  terminal  of  the  booster  battery
(2).

3. Connect one end of the second jump
lead  to  the  negative  (–)  terminal  of
the booster battery (2).

4. Make  the  final  connection  to  an
unpainted,  heavy  metal  part  (i.e.
engine mount bolt (3)) of engine cyl-
inder  head  in  the  vehicle  with  the
discharged battery (1).

WARNING

Never connect the jump lead directly
to the negative (–) terminal of the dis-
charged battery, or an explosion may
occur.

CAUTION

Connect the jump lead to the engine
mount bolt securely. If the jump lead
disconnects  from  the  engine  mount
bolt  because of vibration at the start
of the engine, the jump lead could be
caught in the drive belts.

(3)

4

2

(1)

1

3

(2)

55T100150

3) Connect jump leads as follows:

1. Connect  one  end  of  the  first  jump
lead  to  the  positive  (+)  terminal  of
the discharged battery (1).

10-12

55TH0-74E

EMERGENCY SERVICE",What is the purpose of connecting the jump leads to the positive terminal of the booster battery?,The purpose of connecting the jump leads to the positive terminal of the booster battery is to provide a source of power to the vehicle with the discharged battery.
"10-12

55TH0-74E

EMERGENCY SERVICE

Running Out of Battery
In the following cases, the lead-acid 
battery is running out.

• The  starter  does  not  engage  when
attempting to turn on the engine. Or, the
starter  rotation  is  too  weak  to  make  the
engine start.

• The  headlight  illumination  is  extremely

low or the horn volume is low.

If You Get a Flat Tyre While 
Driving
Firmly  hold  the  steering  wheel  and  care-
fully  apply  the  brakes  to  slow  down  the
vehicle and stop it in a safe place.

Engine Trouble: Starter Does 
not Operate
1) Try turning the ignition mode to START
with  the  headlights  turned  on  to  deter-
mine  the  lead-acid  battery  condition.  If
the headlights go excessively dim or go
off,  it  usually  means  that  either  the
lead-acid  battery  is  discharged  or  the
battery 
is  poor.
terminal  contact 
Recharge  the  lead-acid  battery  or  cor-
rect  battery  terminal  contact  as  neces-
sary.",What are the signs that indicate the lead-acid battery is running out?,"The signs that indicate the lead-acid battery is running out are the starter not engaging or rotating weakly when attempting to turn on the engine, extremely low headlight illumination, and low horn volume."
"2) If  the  headlights  remain  bright,  check
the fuses. If the reason for failure of the
starter  is  not  obvious,  there  may  be  a
major electrical problem. Have the vehi-
cle inspected by a Maruti Suzuki autho-
rized workshop.

10-13

55TH0-74E

Engine Trouble: Does not 
Start
Make  sure  that  your  vehicle  has  enough
fuel and battery.
If the engine does not start under very cold
condition,  press  the  accelerator  pedal  all
the way to the floor and hold it while crank-
ing the engine.
Refer to “Starting / Stopping Engine (Vehi-
cle without Keyless Push Start System) (if
equipped)”  or  “Starting  /  Stopping  Engine
(Vehicle  with  Keyless  Push  Start  System)
(if  equipped)” 
in  “OPERATING  YOUR
VEHICLE” section.
If the engine still does not start have your
vehicle inspected at a Maruti Suzuki autho-
rized workshop.
• Do  not  operate  the  starter  motor  for

more than 12 seconds.",What should you do if the engine does not start under very cold conditions?,"If the engine does not start under very cold conditions, you should press the accelerator pedal all the way to the floor and hold it while cranking the engine."
"more than 12 seconds.

NOTE:
If  the  engine  refuses  to  start,  the  starter
motor  automatically  stops  after  a  certain
period  of  time. After  the  starter  motor  has
automatically  stopped  or  if  there  is  any-
thing  abnormal  in  the  engine  starting  sys-
tem,  the  starter  motor  runs  only  while  the
engine switch is held pressed.

Engine Trouble: Overheating
The  engine  could  overheat  temporarily
under severe driving conditions. If the high
engine  coolant  temperature  warning  light
comes  on  as  overheating  or  the  engine
coolant temperature gauge indicates over-
heating during driving:

1) Turn off the air conditioner.
2) Take  the  vehicle  to  a  safe  place  and

park.

3) Run the engine at a normal idle speed
for a few minutes until the high engine
coolant temperature warning light goes
off or the indicator is within the normal,
acceptable temperature range between
“H” and “C”.

WARNING",What should you do if the high engine coolant temperature warning light comes on while driving?,"If the high engine coolant temperature warning light comes on while driving, you should turn off the air conditioner, find a safe place to park, and run the engine at a normal idle speed for a few minutes until the warning light goes off or the temperature gauge returns to the normal range."
"WARNING

If  you  see  or  hear  escaping  steam,
stop  the  vehicle  in  a  safe  place  and
immediately  turn  off  the  engine  to
cool  it.  Do  not  open  the  hood  when
steam  is  present.  When  the  steam
can no longer be seen or heard, open
the  hood  to  see  if  the  coolant  is  still
boiling.  If  it  is,  you  must  wait  until  it
stops boiling before you proceed.

EMERGENCY SERVICE

If  the  high  engine  coolant  temperature
warning  light  does  not  go  off  or  the  tem-
perature indication does not come down to
within the normal, acceptable range:

1) Turn  off  the  engine  and  check  that  the
water  pump  belt  and  pulleys  are  not
damaged or slipping. If any abnormality
is found, correct it.",What should you do if you see or hear escaping steam while driving?,"If you see or hear escaping steam while driving, you should stop the vehicle in a safe place and immediately turn off the engine to cool it."
"2) Check the coolant level in the reservoir.
If  it  is  found  to  be  lower  than  “LOW”
line, check radiator, water pump, radia-
tor hoses and heater hoses for leakage.
If  leakage  that  may  cause  overheating
is  found,  do  not  run  the  engine  until
these problems have been corrected.
3) If  leakage  is  not  found,  carefully  add
coolant  to  the  reservoir  and  then  the
radiator, if necessary. (Refer to “Engine
coolant”  in  “INSPECTION AND  MAIN-
TENANCE” section.)

NOTE:
If  engine  overheats  and  you  are  not  sure
what to do, contact a Maruti Suzuki autho-
rized workshop.

10-14

55TH0-74E

EMERGENCY SERVICE

Warning Triangle

(1)

55T100010",What should you do if the coolant level in the reservoir is lower than the "LOW" line?,"If the coolant level in the reservoir is lower than the ""LOW"" line, you should check the radiator, water pump, radiator hoses, and heater hoses for leakage. If any leakage is found that may cause overheating, do not run the engine until these problems have been corrected. If no leakage is found, carefully add coolant to the reservoir and then the radiator, if necessary."
"10-14

55TH0-74E

EMERGENCY SERVICE

Warning Triangle

(1)

55T100010

In  case  of  vehicle  break-down  or  during
emergency  stopping,  where,  your  vehicle
could  become  a  potential  traffic  hazard,
keep  the  warning  triangle,  provided  with
your  vehicle,  on  the  road  free  from  any
obstacles  behind  your  vehicle  so  as  to
warn the approaching traffic, at an approxi-
mate distance of 50-100 m. The reflecting
side of the triangle should face the oncom-
ing  traffic.  Please  activate  the  hazard
warning lamps before alighting the vehicle
to keep the warning triangle.

(2)

(2)

(3)

55T100020

79J007

WARNING

• It is hazardous to remove the radia-
tor cap when the water temperature
is high, because scalding fluid and
steam  may  be  blown  out  under
pressure.  The  cap  should  only  be
taken  off  when  the  coolant  tem-
perature has lowered.",What should you do in case of a vehicle breakdown or emergency stopping?,"In case of a vehicle breakdown or emergency stopping, you should keep the warning triangle provided with your vehicle on the road free from any obstacles behind your vehicle to warn the approaching traffic. The reflecting side of the triangle should face the oncoming traffic."
"• To  help  prevent  personal  injury,
keep  hands,  tools  and  clothing
away  from  the  engine  cooling  fan
and air-conditioner fan. These elec-
tric  fans  can  automatically  turn  on
without warning.

10-15

• Remove  the  warning  triangle  carefully
from the cover as shown by arrow (1).
• Open  both  the  reflector  arms  as  shown
by arrow (2) and lock the arms with each
other  with  the  clip  provided  in  the  right
arm.  Open  the  bottom  stand  in  counter
clock-wise  direction  as  shown  by  arrow
(3). Position the warning triangle behind
the vehicle on a plain surface. 

• Reverse 

the  removal  procedure 

for

keeping inside the cover.

55T100030

55TH0-74E

APPEARANCE CARE

APPEARANCE CARE
Corrosion Prevention  ......................................................... 11-1
Cleaning Exterior  ................................................................ 11-2
Cleaning Interior .................................................................. 11-6

60G412

11",What precautions should be taken when working near the engine cooling fan and air-conditioner fan?,"To help prevent personal injury, it is important to keep hands, tools, and clothing away from the engine cooling fan and air-conditioner fan. These electric fans can automatically turn on without warning."
"60G412

11

55TH0-74E

Remove foreign material deposits
Foreign materials such as salts, chemicals,
road oil or tar, tree sap, bird droppings and
industrial fall-out may damage the finish of
your vehicle if it is left on painted surfaces.
Remove these types of deposits as quickly
as possible. If these deposits are difficult to
wash  off,  an  additional  cleaner  may  be
required.  Check  that  any  cleaner  you  use
is  not  harmful  to  painted  surfaces  and  is
specifically  intended  for  your  purposes.
Follow the manufacturer’s directions when
using these special cleaners.

Repair finish damage
Carefully examine your vehicle for damage
to  the  painted  surfaces.  Should  you  find
any  chips  or  scratches  in  the  paint,  touch
them  up  immediately  to  prevent  corrosion
from starting. If the chips or scratches have
gone  through  to  the  bare  metal,  have  a
qualified body shop make the repair.

APPEARANCE CARE",What types of foreign materials can damage the finish of a vehicle if left on painted surfaces?,"Foreign materials such as salts, chemicals, road oil or tar, tree sap, bird droppings, and industrial fall-out can damage the finish of a vehicle if left on painted surfaces."
"APPEARANCE CARE

Corrosion Prevention
It  is  important  to  take  good  care  of  your
vehicle  to  protect  it  from  corrosion.  Listed
below are instructions for how to maintain
your  vehicle  to  prevent  corrosion.  Please
read and follow these instructions carefully.

Important Information about Corro-
sion
Common causes of corrosion
1) Accumulation of road salt, dirt, moisture
or  chemicals  in  hard-to-reach  areas  of
the vehicle underbody or frame.

2) Chipping, scratches and any damage to
treated  or  painted  metal  surfaces
resulting from minor accidents or abra-
sion by stones and gravel.

3) Any  or  all  of  the  below  mentioned

points:

• Continuous exposure to sunlight
• Hard  water  &  sea  water  coming  in  con-

tact with vehicle.

• Foot rubbing (skirting).

Environmental  conditions  which  accel-
erate corrosion
1) Road  salt,  dust  control  chemicals,  sea
breeze  or  industrial  pollution  will  all
accelerate the corrosion of metal.",What are some common causes of corrosion in a vehicle?,"Some common causes of corrosion in a vehicle include the accumulation of road salt, dirt, moisture, or chemicals in hard-to-reach areas of the vehicle underbody or frame, chipping, scratches, and damage to treated or painted metal surfaces resulting from minor accidents or abrasion by stones and gravel, and continuous exposure to sunlight, hard water, sea water, and foot rubbing. Additionally, environmental conditions such as road salt, dust control chemicals, sea breeze, or industrial pollution can accelerate the corrosion of metal."
"2) High  humidity  will  increase  the  rate  of
corrosion  particularly  when  the  tem-
perature  range  is just above  the  freez-
ing point.

11-1

3) Moisture  in  certain  areas  of  a  vehicle
for an extended period of time may pro-
mote  corrosion  even  when  other  body
sections are completely dry.

4) High temperatures will cause an accel-
erated  rate  of  corrosion  to  parts  of  the
vehicle which are not well-ventilated to
permit quick drying.

This information illustrates the necessity of
keeping  your  vehicle 
the
underbody) as clean and dry as possible. It
is equally important to repair any damage
to the paint or protective coatings as soon
as possible.

(particularly",What factors can contribute to the rate of corrosion in a vehicle?,"Factors that can contribute to the rate of corrosion in a vehicle include high humidity, moisture in certain areas for an extended period of time, and high temperatures in poorly ventilated parts of the vehicle."
"(particularly 

How to Help Prevent Corrosion
Wash your vehicle frequently
The best way to preserve the finish on your
vehicle  and  to  help  avoid  corrosion  is  to
keep it clean with frequent washing.
Wash your vehicle at least once during the
winter and once immediately after the win-
ter.  Keep  your  vehicle,  particularly  the
underside, as clean and dry as possible.
If  you  frequently  drive  on  salted  roads,
your  vehicle  should  be  washed  at  least
once a month during the winter. If you live
near  the  ocean,  your  vehicle  should  be
washed at least once a  month throughout
the year.

For washing instructions, refer to “Cleaning
Exterior” section.

55TH0-74E",How often should you wash your vehicle to help prevent corrosion?,"To help prevent corrosion, it is recommended to wash your vehicle frequently. Wash your vehicle at least once during the winter and once immediately after the winter. If you frequently drive on salted roads, your vehicle should be washed at least once a month during the winter. If you live near the ocean, your vehicle should be washed at least once a month throughout the year."
"For washing instructions, refer to “Cleaning
Exterior” section.

55TH0-74E

Keep  passenger  and  luggage  compart-
ments clean
Moisture,  dirt  or  mud  can  accumulate
under the floor mats and may cause corro-
sion.  Occasionally,  check  under  these
mats to ensure that this area is clean and
dry. More frequent checks are necessary if
the vehicle is used for off-road driving or in
wet weather.
Certain cargos such as chemicals, fertiliz-
ers, cleaners, salts, etc. are extremely cor-
rosive  by  nature.  These  products  should
be transported in sealed containers. If they
are  spilled  or  leaked,  clean  and  dry  the
area immediately.","What should be done if moisture, dirt, or mud accumulates under the floor mats?","If moisture, dirt, or mud accumulates under the floor mats, it is important to occasionally check under the mats to ensure that the area is clean and dry. More frequent checks are necessary if the vehicle is used for off-road driving or in wet weather."
"Park  your  vehicle  in  a  dry,  well-venti-
lated area
Park  your  vehicle  to  save  it  from  continu-
ous  exposure  to  direct  sunlight.  Do  not
park  your  vehicle  in  a  damp,  poorly-venti-
lated  area.  If  you  often  wash  your  vehicle
in the garage and place it there in wet con-
dition, your garage may be damp. The high
humidity in the garage may cause or accel-
erate corrosion. A wet vehicle may corrode
even in a heated garage if the ventilation is
poor.

WARNING

Do not apply additional undercoating
or  rust  preventive  coating  on  or
around  exhaust  system  components
such  as  the  catalytic  converter  and
the exhaust pipes. It may catch a fire
if 
substance
becomes overheated.

the  undercoating",What precautions should be taken when parking a vehicle to prevent corrosion?,"To prevent corrosion, it is recommended to park your vehicle in a dry, well-ventilated area and avoid parking in damp or poorly-ventilated areas. Additionally, if you frequently wash your vehicle in the garage, ensure that the garage is not damp as high humidity can accelerate corrosion."
"the  undercoating 

Cleaning Exterior
For Keeping the Paintwork Beauti-
ful
To  keep  your  vehicle’s  beautiful  appear-
ance  for a  long term, daily  care  is  import-
ant.
• For  parking  and  storing  the  vehicle,  we
recommend  garages  with  good  ventila-
tion and locations with roofs.

• The following situations may cause rust-
ing and discoloration of the paint. Wash
your vehicle promptly.
– When  driving  in  coastal  areas  or  on
roads  sprayed  with  antifreeze  agent
(Wash  the  underside  of  the  vehicle
and around the wheel wells especially)
– When  bird  droppings,  dead  insects,
sap, iron dust, soot or smoke residue,
coal  tar,  etc.,  adhere  to  the  paint  or
when  the  vehicle  gets  wet  with  acid
rain

– When  the  vehicle  is  dirty  with  dust  or

mud",What are some situations that may cause rusting and discoloration of the paint on a vehicle?,"Some situations that may cause rusting and discoloration of the paint on a vehicle include driving in coastal areas or on roads sprayed with antifreeze agent, bird droppings, dead insects, sap, iron dust, soot or smoke residue, coal tar, acid rain, and when the vehicle is dirty with dust or mud."
"– When  the  vehicle  is  dirty  with  dust  or

mud

• Give  the  vehicle  a  wax  about  once  a
month  or  whenever  the  water-repelling
the  painted  surfaces  has
ability  of 
declined.  Follow  all  instructions  on  the
package of the wax (sold separately).

APPEARANCE CARE

NOTE:
Do  not  use  wax  on  plastic  parts  that  are
not  coated.  Waxing  these  surfaces  could
result  in  a  whitened  or  uneven  appear-
ance.

• Chips  from  flying  rocks,  scratches,  etc.
can  cause  rust.  Repair  these  areas  as
soon as possible.

80J302

NOTICE

• When 

repairing  scratches  on
painted  surfaces,  consult  a  Maruti
Suzuki authorized workshop. Using
an inappropriate material for repair
could cause damage to the paint.
• It is important that your vehicle be
kept  clean  and  free  from  dirt.  Fail-
ure to keep your vehicle clean may
result in fading of the paint or cor-
rosion to various parts of the vehi-
cle body.

11-2

55TH0-74E

NOTICE

NOTICE

(Continued)",What should be done if the vehicle is dirty with dust or mud?,The vehicle should be given a wax about once a month or whenever the water-repelling ability of the painted surfaces has declined. Follow all instructions on the package of the wax (sold separately).
"11-2

55TH0-74E

NOTICE

NOTICE

(Continued)

84S09240
• When  washing  or  waxing  the  vehi-
cle, do not lean on the vehicle body
or do not push it hard.
This might cause it to deform.

(Continued)

55T110010
• When  washing  or  waxing  the  vehi-
cle,  do  not  put  your  foot  on  the
door opening. 
This might cause it to damage.

APPEARANCE CARE

Washing

WARNING

• Never  attempt  to  wash  and  wax
your  vehicle  with  the  engine  run-
ning.

• When cleaning the underside of the
body  and  fender,  where  there  may
be  sharp-edged  parts,  wear  gloves
and  a  long-sleeved  shirt  to  protect
your  hands  and  arms  from  being
cut.

• After  washing  your  vehicle,  care-
fully  test  the  brakes  before  driving
to check that they have maintained
their normal effectiveness.

11-3

55TH0-74E

Washing by hand

80J303",What precautions should be taken when washing or waxing the vehicle?,"When washing or waxing the vehicle, it is important not to lean on the vehicle body or push it hard, as this may cause it to deform. Additionally, one should avoid putting their foot on the door opening, as it may cause damage to the vehicle."
